film,question,answer
Gladiator,What was the worldwide gross of Gladiator?,$465.4 million
A Beautiful Mind,Who was consulted on the mathematical equations in the film A Beautiful Mind?,Dave Bayer
Chicago,Where did principal photography take place for the film Chicago?,"Toronto, Ontario, Canada."
The Lord of the Rings: The Return of the King,Who composed the score for the film The Lord of the Rings: The Return of the King?,Howard Shore
Million Dollar Baby,What day was Million Dollar Baby released in theaters?,"December 15, 2004"
Crash,When was Crash released on DVD?,"September 6, 2005"
The Departed,How much did The Departed gross on opening weekend?,$26.9 million
No Country for Old Men,The film No Country for Old Men is based on the novel by what author?,Cormac McCarthy
Slumdog Millionaire,Slumdog Millionaire is based on what novel?,Q & A
The Hurt Locker,Where was The Hurt Locker filmed?,Jordan
The King's Speech,How many Oscar nominations did The King's Speech receive?,12
The Artist,Who directed The Artist?,Michel Hazanavicius
Argo,When was Argo released in the United States?,"October 12, 2012"
12 Years a Slave,12 Years a Slave is based on whose memoir?,Solomon Northup
Birdman or (The Unexpected Virtue of Ignorance),Where was Birdman filmed?,New York City
Spotlight,How many Academy Award nominations did Spotlight receive?,six
Moonlight,Who composed the score for Moonlight?,Nicholas Britell
The Shape of Water,Who directed The Shape of Water?,Guillermo del Toro
Green Book,What was the total worldwide gross of Green Book?,$321.8 million
Parasite,What prize did Parasite win at the Cannes Film Festival?,Palme d'Or
Nomadland,What was the budget of Nomadland?,$5 million
CODA,CODA is a remake of what film?,La Famille Bélier
Everything Everywhere All at Once,Who stars as Evelyn Quan Wang in Everything Everywhere All at Once?,Michelle Yeoh
Oppenheimer,Where did Oppenheimer premiere?,Le Grand Rex in Paris
